Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,LotFrontage_WasMissing,MasVnrArea_WasMissing,GarageYrBlt_WasMissing,TotalSF,TotalPorchSF,TotalBaths,BsmtFinishedRatio,LivingAreaRatio,HouseAge,YearsSinceRemodel,WasRemodeled,GarageAge,YearsSinceSold,HouseAgeGroup,NeighborhoodTier,QualityScore,BasementQualityScore,GarageQualityScore,RoomDensity,BathBedroomRatio,GarageLivingRatio,LotCoverageRatio,AgeQualityInteraction,SalePrice
12,60,RL,85.0,11924,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998.0,Unf,0.0,177.0,1175.0,GasA,Ex,Y,SBrkr,1182,1142,0,2324,1.0,0.0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005.0,Fin,3.0,736.0,TA,TA,Y,147,21,0,0,0,0,,,,0,7,2006,New,Partial,0,0,0,3499.0,21,4.0,0.8493617021276596,0.1949010399194901,18,17,1,18,17,Recent (11-25),Premium,5.8999999999999995,2.6666666666666665,3.0,4.733218588640275,1.0,0.31669535283993117,0.29344179805434417,106.19999999999999,345000
13,20,RL,95.2,12968,Pave,,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737.0,Unf,0.0,175.0,912.0,GasA,TA,Y,SBrkr,912,0,0,912,1.0,0.0,1,0,2,1,TA,4,Typ,0,,Detchd,1962.0,Unf,1.0,352.0,TA,TA,Y,140,0,0,0,176,0,,,,0,9,2008,WD,Normal,1,0,0,1824.0,176,2.0,0.8081140350877193,0.0703269586674892,61,61,0,61,15,Old (51-100),Mid_Tier,4.200000000000001,2.0,3.0,4.385964912280701,1.0,0.38596491228070173,0.1406539173349784,256.20000000000005,144000
14,20,RL,91.0,10652,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,1494.0,1494.0,GasA,Ex,Y,SBrkr,1494,0,0,1494,0.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3.0,840.0,TA,TA,Y,160,33,0,0,0,0,,,,0,8,2007,New,Partial,0,0,0,2988.0,33,2.0,0.0,0.14025535110777318,17,16,1,17,16,Recent (11-25),Mid_Tier,4.950000000000001,2.3333333333333335,3.0,4.685408299866132,0.6666666666666666,0.5622489959839357,0.28051070221554636,84.15000000000002,279500
15,20,RL,65.0,10920,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733.0,Unf,0.0,520.0,1253.0,GasA,TA,Y,SBrkr,1253,0,0,1253,1.0,0.0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,1960.0,RFn,1.0,352.0,TA,TA,Y,0,213,176,0,0,0,,GdWo,,0,5,2008,WD,Normal,1,0,0,2506.0,389,2.5,0.5849960095770151,0.11474358974358974,63,63,0,63,15,Old (51-100),Mid_Tier,4.300000000000001,2.0,3.0,3.9904229848363926,1.25,0.28092577813248204,0.22948717948717948,270.90000000000003,157000
16,45,RM,51.0,6120,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,832.0,832.0,GasA,Ex,Y,FuseA,854,0,0,854,0.0,0.0,1,0,2,1,TA,5,Typ,0,,Detchd,1991.0,Unf,2.0,576.0,TA,TA,Y,48,112,0,0,0,0,,GdPrv,,0,7,2007,WD,Normal,0,0,0,1686.0,112,1.0,0.0,0.13954248366013072,94,22,1,32,16,Old (51-100),Standard,5.200000000000001,2.0,3.0,5.85480093676815,0.5,0.6744730679156908,0.2754901960784314,488.8000000000001,132000
17,20,RL,84.0,11241,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578.0,Unf,0.0,426.0,1004.0,GasA,Ex,Y,SBrkr,1004,0,0,1004,1.0,0.0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2.0,480.0,TA,TA,Y,0,0,0,0,0,0,,,Shed,700,3,2010,WD,Normal,1,0,0,2008.0,0,2.0,0.5756972111553785,0.08931589716217418,53,53,0,53,13,Old (51-100),Mid_Tier,4.700000000000001,2.0,3.0,4.9800796812749,1.0,0.47808764940239046,0.17863179432434836,249.10000000000005,149000
18,90,RL,72.0,10791,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,Slab,,,,,0.0,,0.0,0.0,0.0,GasA,TA,Y,SBrkr,1296,0,0,1296,0.0,0.0,2,0,2,2,TA,6,Typ,0,,CarPort,1967.0,Unf,2.0,516.0,TA,TA,Y,0,0,0,0,0,0,,,Shed,500,10,2006,WD,Normal,0,0,0,1296.0,0,2.0,0.0,0.12010008340283569,56,56,0,56,17,Old (51-100),Mid_Tier,3.2500000000000004,0.0,3.0,4.62962962962963,1.0,0.39814814814814814,0.12010008340283569,182.00000000000003,90000
19,20,RL,66.0,13695,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,TA,TA,No,GLQ,646.0,Unf,0.0,468.0,1114.0,GasA,Ex,Y,SBrkr,1114,0,0,1114,1.0,0.0,1,1,3,1,Gd,6,Typ,0,,Detchd,2004.0,Unf,2.0,576.0,TA,TA,Y,0,102,0,0,0,0,,,,0,6,2008,WD,Normal,0,0,0,2228.0,102,2.5,0.5798922800718133,0.08134355604235122,19,19,0,19,15,Recent (11-25),Mid_Tier,4.05,2.0,3.0,5.3859964093357275,0.8333333333333334,0.5170556552962298,0.16268711208470243,76.95,159000
20,20,RL,70.0,7560,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504.0,Unf,0.0,525.0,1029.0,GasA,TA,Y,SBrkr,1339,0,0,1339,0.0,0.0,1,0,3,1,TA,6,Min1,0,,Attchd,1958.0,Unf,1.0,294.0,TA,TA,Y,0,0,0,0,0,0,,MnPrv,,0,5,2009,COD,Abnorml,0,0,0,2368.0,0,1.0,0.4897959183673469,0.17711640211640212,65,58,1,65,14,Old (51-100),Mid_Tier,4.200000000000001,2.0,3.0,4.480955937266617,0.3333333333333333,0.21956684092606424,0.31322751322751324,273.00000000000006,139000
21,60,RL,101.0,14215,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1158.0,1158.0,GasA,Ex,Y,SBrkr,1158,1218,0,2376,0.0,0.0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005.0,RFn,3.0,853.0,TA,TA,Y,240,154,0,0,0,0,,,,0,11,2006,New,Partial,0,0,0,3534.0,154,3.5,0.0,0.1671473795286669,18,17,1,18,17,Recent (11-25),Premium,5.3500000000000005,2.6666666666666665,3.0,3.787878787878788,0.875,0.359006734006734,0.24861062258177982,96.30000000000001,325300
22,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,637.0,637.0,GasA,Ex,Y,FuseF,1108,0,0,1108,0.0,0.0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,1930.0,Unf,1.0,280.0,TA,TA,N,0,0,205,0,0,0,,GdPrv,,0,6,2007,WD,Normal,0,0,0,1745.0,205,1.0,0.0,0.14874479795945764,93,73,1,93,16,Old (51-100),Standard,5.05,2.0,3.0,5.415162454873646,0.3333333333333333,0.2527075812274368,0.23425963216539133,469.65,139400
23,20,RL,75.0,9742,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1777.0,1777.0,GasA,Ex,Y,SBrkr,1795,0,0,1795,0.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2002.0,RFn,2.0,534.0,TA,TA,Y,171,159,0,0,0,0,,,,0,9,2008,WD,Normal,0,0,0,3572.0,159,2.0,0.0,0.18425374666392938,21,21,0,21,15,Recent (11-25),Mid_Tier,5.250000000000001,2.3333333333333335,3.0,3.8997214484679663,0.6666666666666666,0.29749303621169915,0.36665982344487785,110.25000000000001,230000
24,120,RM,44.0,4224,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840.0,Unf,0.0,200.0,1040.0,GasA,TA,Y,SBrkr,1060,0,0,1060,1.0,0.0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,Unf,2.0,572.0,TA,TA,Y,100,110,0,0,0,0,,,,0,6,2007,WD,Normal,0,0,0,2100.0,110,2.0,0.8076923076923077,0.2509469696969697,47,47,0,47,16,Mature (26-50),Standard,4.500000000000002,2.3333333333333335,3.0,5.660377358490566,0.6666666666666666,0.539622641509434,0.4971590909090909,211.50000000000009,129900
25,20,RL,70.2,8246,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188.0,ALQ,668.0,204.0,1060.0,GasA,Ex,Y,SBrkr,1060,0,0,1060,1.0,0.0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,1968.0,Unf,1.0,270.0,TA,TA,Y,406,90,0,0,0,0,,MnPrv,,0,5,2010,WD,Normal,1,0,0,2120.0,90,2.0,0.8075471698113208,0.12854717438758187,55,22,1,55,13,Old (51-100),Mid_Tier,4.750000000000001,2.0,3.0,5.660377358490566,0.6666666666666666,0.25471698113207547,0.25709434877516374,261.25000000000006,154000
26,20,RL,110.0,14230,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1566.0,1566.0,GasA,Ex,Y,SBrkr,1600,0,0,1600,0.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3.0,890.0,TA,TA,Y,0,56,0,0,0,0,,,,0,7,2009,WD,Normal,0,0,0,3166.0,56,2.0,0.0,0.11243851018973998,16,16,0,16,14,Recent (11-25),Premium,5.250000000000001,2.3333333333333335,3.0,4.375,0.6666666666666666,0.55625,0.222487702037948,84.00000000000001,256300
27,20,RL,60.0,7200,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234.0,Rec,486.0,180.0,900.0,GasA,TA,Y,SBrkr,900,0,0,900,0.0,1.0,1,0,3,1,Gd,5,Typ,0,,Detchd,2005.0,Unf,2.0,576.0,TA,TA,Y,222,32,0,0,0,0,,,,0,5,2010,WD,Normal,0,0,0,1800.0,32,1.5,0.8,0.125,72,23,1,18,13,Old (51-100),Mid_Tier,4.450000000000001,2.0,3.0,5.555555555555555,0.5,0.64,0.25,320.4000000000001,134800
28,20,RL,98.0,11478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218.0,Unf,0.0,486.0,1704.0,GasA,Ex,Y,SBrkr,1704,0,0,1704,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3.0,772.0,TA,TA,Y,0,50,0,0,0,0,,,,0,5,2010,WD,Normal,0,0,0,3408.0,50,3.0,0.7147887323943662,0.14845791949817042,16,15,1,15,13,Recent (11-25),Premium,5.3500000000000005,2.6666666666666665,3.0,4.107981220657277,1.0,0.45305164319248825,0.29691583899634083,85.60000000000001,306000
29,20,RL,47.0,16321,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277.0,Unf,0.0,207.0,1484.0,GasA,TA,Y,SBrkr,1600,0,0,1600,1.0,0.0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,1957.0,RFn,1.0,319.0,TA,TA,Y,288,258,0,0,0,0,,,,0,12,2006,WD,Normal,0,0,0,3084.0,258,2.0,0.860512129380054,0.09803320874946388,66,26,1,66,17,Old (51-100),Mid_Tier,4.200000000000001,3.3333333333333335,3.0,3.75,1.0,0.199375,0.18895900986459163,277.20000000000005,207500
30,30,RM,60.0,6324,Pave,,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,520.0,520.0,GasA,Fa,N,SBrkr,520,0,0,520,0.0,0.0,1,0,1,1,Fa,4,Typ,0,,Detchd,1920.0,Unf,1.0,240.0,Fa,TA,Y,49,0,87,0,0,0,,,,0,5,2008,WD,Normal,0,0,0,1040.0,87,1.0,0.0,0.08222643896268185,96,73,1,103,15,Old (51-100),Standard,3.8500000000000005,2.0,2.5,7.6923076923076925,1.0,0.46153846153846156,0.1644528779253637,369.6,68500
31,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,649.0,649.0,GasA,TA,N,SBrkr,649,668,0,1317,0.0,0.0,1,0,3,1,TA,6,Typ,0,,Detchd,1920.0,Unf,1.0,250.0,TA,Fa,N,0,54,172,0,0,0,,MnPrv,,0,7,2008,WD,Normal,0,0,0,1966.0,226,1.0,0.0,0.15494117647058825,103,73,1,103,15,Historic (100+),Standard,3.4000000000000004,2.0,2.5,4.555808656036446,0.3333333333333333,0.18982536066818528,0.23129411764705882,350.20000000000005,40000
32,20,RL,62.2,8544,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1228.0,1228.0,GasA,Gd,Y,SBrkr,1228,0,0,1228,0.0,0.0,1,1,3,1,Gd,6,Typ,0,,Attchd,1966.0,Unf,1.0,271.0,TA,TA,Y,0,65,0,0,0,0,,MnPrv,,0,6,2008,WD,Normal,1,0,0,2456.0,65,1.5,0.0,0.14372659176029962,57,17,1,57,15,Old (51-100),Mid_Tier,4.250000000000001,2.0,3.0,4.885993485342019,0.5,0.22068403908794787,0.28745318352059923,242.25000000000006,149350
